Target Basin Code,Target Basin ID,Target Basin Area (km2),Best Source Basin Code,Best Source Basin ID,distance
A01,Anhui_50406910,79.03275595,A16,Anhui_62916110,4.1576880810997014
A02,Anhui_50501200,182.151545,A09,Anhui_62803300,3.18855814399974
A03,Anhui_50701100,270.2029349,A09,Anhui_62803300,3.7742494581028363
A04,Anhui_62549024,989.00179,A05,Anhui_62700110,2.724594807842983
A05,Anhui_62700110,471.7391908,A04,Anhui_62549024,2.724594807842983
A06,Anhui_62700700,127.2410262,A13,Anhui_62907601,3.579704189377437
A07,Anhui_62802400,421.6804036,A15,Anhui_62911200,2.402149878362367
A08,Anhui_62802700,540.8742741,A02,Anhui_50501200,3.7096517419673285
A09,Anhui_62803300,151.598896,A02,Anhui_50501200,3.18855814399974
A10,Anhui_62906900,260.6304618,A11,Anhui_62907100,1.9556158535870327
A11,Anhui_62907100,10.79427912,A10,Anhui_62906900,1.9556158535870323
A12,Anhui_62907600,9.424103328,A13,Anhui_62907601,0.14380989527478988
A13,Anhui_62907601,26.99139066,A12,Anhui_62907600,0.14380989527478988
A14,Anhui_62909400,497.6376856,A13,Anhui_62907601,2.481402961353713
A15,Anhui_62911200,661.0085881,A07,Anhui_62802400,2.402149878362367
A16,Anhui_62916110,78.85155628,A01,Anhui_50406910,4.1576880810997014
A17,Anhui_70112150,5.076438474,A18,Anhui_70114100,0.32088863256502803
A18,Anhui_70114100,98.83302389,A17,Anhui_70112150,0.32088863256502803
